pH,Light (μmol/m²/s),Temp (°C),TN₀ (mg/L),TP₀ (mg/L),COD₀,Cultivation Time (days),N Removal Efficiency (%),P Removal Efficiency (%),COD rem (%),Biomass Yield (g/L)
7.0,140.0,28,383.7,40.38,4820.0,7,89.12,74.77,92.6,1.3
7.5,130.0,25,55.0,7.1,310.0,5,74.6,70.2,65.9,1.1
7.2,120.0,26,40.0,5.0,260.0,5,82.1,78.4,71.3,0.76
7.5,100.0,24,55.0,7.1,420.0,7,76.0,69.0,,
7.5,130.0,25,55.0,7.1,420.0,7,90.0,88.0,,1.2
7.8,130.0,27,55.0,7.1,500.0,7,100.0,100.0,86.6,3.22
7.0,120.0,24,55.0,7.1,420.0,7,69.6,47.3,89.0,0.92
7.5,130.0,26,55.0,7.1,420.0,6,85.0,80.0,,1.3
8.0,150.0,30,55.0,7.1,420.0,6,91.0,89.0,,1.05
7.6,140.0,28,55.0,7.1,420.0,7,88.0,83.0,,1.6
7.5,130.0,25,55.0,7.1,420.0,7,92.0,90.0,,2.1
7.4,120.0,27,55.0,7.1,420.0,6,81.0,76.0,,0.9
7.5,130.0,25,55.0,7.1,420.0,7,87.0,84.0,,1.4
7.9,160.0,30,55.0,7.1,420.0,6,94.0,91.0,,2.3
